cluster,stId,name,entities_found,entities_tot,FDR_wholeproteome,K_network_annotated,N_network,p_network_raw,FDR_network
1,R-HSA-187037,Signaling by NTRK1 (TRKA),2,143,0.3301015962346645,24,1800,0.5268753375340851,0.8541211155151235
1,R-HSA-9012999,RHO GTPase cycle,5,460,0.3301999351711444,124,1800,0.9552390821636558,0.9998152877471925
1,R-HSA-442660,SLC-mediated transport of neurotransmitters,1,49,0.3327877230261112,2,1800,0.13926564140571923,0.668178768872121
1,R-HSA-9710421,Defective pyroptosis,1,51,0.3437340864435547,10,1800,0.5283809118153424,0.8541211155151235
1,R-HSA-8864260,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,1,52,0.3491402360813791,10,1800,0.5283809118153424,0.8541211155151235
1,R-HSA-606279,Deposition of new CENPA-containing nucleosomes at the centromere,1,53,0.3545021808777,11,1800,0.5626325774376919,0.8841369074020873
1,R-HSA-9824585,Regulation of MITF-M-dependent genes involved in pigmentation,1,53,0.3545021808777,10,1800,0.5283809118153424,0.8541211155151235
1,R-HSA-774815,Nucleosome assembly,1,53,0.3545021808777,11,1800,0.5626325774376919,0.8841369074020873
1,R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,1,54,0.3598202795897245,12,1800,0.594414447159939,0.884755497257863
1,R-HSA-6781823,Formation of TC-NER Pre-Incision Complex,1,54,0.3598202795897245,8,1800,0.4516923394435704,0.8377068612522613
1,R-HSA-9861718,Regulation of pyruvate metabolism,1,54,0.3598202795897245,5,1800,0.31288143025183374,0.7926940672697135
1,R-HSA-9820952,Respiratory Syncytial Virus Infection Pathway,2,154,0.3629084324822036,18,1800,0.3775209747517719,0.8228803095963371
1,R-HSA-6811440,Retrograde transport at the Trans-Golgi-Network,1,55,0.3650948880849127,7,1800,0.40883004487211155,0.8228803095963371
1,R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,1,55,0.3650948880849127,12,1800,0.594414447159939,0.884755497257863
1,R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,2,159,0.3776288471127631,27,1800,0.5920854023258327,0.884755497257863
1,R-HSA-5658442,Regulation of RAS by GAPs,1,58,0.3806612880823713,13,1800,0.6239033296371246,0.8932711164010895
1,R-HSA-8856828,Clathrin-mediated endocytosis,2,161,0.3834785300459371,34,1800,0.7177530273209074,0.9520782803580272
1,R-HSA-9006931,Signaling by Nuclear Receptors,4,383,0.3885504270401649,51,1800,0.5096419376617201,0.8541211155151235
1,R-HSA-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,1,60,0.3908278332852131,13,1800,0.6239033296371246,0.8932711164010895
1,R-HSA-6794361,Neurexins and neuroligins,1,60,0.3908278332852131,8,1800,0.4516923394435704,0.8377068612522613
